text,reason,label
"this application is fairly good, but it does not support the arabic language; so i gave it 2 out of 5",want arabic language support,1
i can not refresh the zoom,want to refresh app,1
it would be interesting to be able to open simultaneous rooms by cell phone.,want to open simultaneous rooms on phone,1
best app for conference calls,good app for conducting conference calls,1
help me install my zoom cloud meeting,want to install zoom cloud meetings,1
and i have tried to uninstall and reinstall,problem persists after reinstalling app,1
zoom has improved a lot recently.,app has improved,1
zoom will not tell me create an account.,want to create account,1
google sign-in does not work!,want to sign in using google,1
i do not know the reason why i can not install this app.,want to install app,1
can not use background image,want to change background image,1
no option to change background when using android phone,want to change virtual background,1
i am not able to set the background of my video,want to update backgrounds,1
worst app for online classes,not perfect for online classes,1
but i can not use background filters.,want to use background and filters,1
I am not able to download the app on my android.,want to download the on android,1
best app for meeting and study purposes,good app for studies,1
request for a setting to disable auto-rotate please.,want to disable auto rotate feature,1
the bad thing is that the app is very slow,app is slow,1
this app is good but it wastes a lot of battery.,battery consumption is high,1
but i can not edit my profile,want to edit profile,1
i can not turn on the camera,want to turn on camera,1
"they say ""you can not register for zoom at the moment""",want to register in zoom,1
the best platform to communicate in a pandemic,good for communication,1
it is very good the zoom service is quite interesting to me,customer service is good,1
i can not install zoom on my android.,unable to install app on android phone,1
sometimes the image freezes.,image freezes sometimes,1
how to change the language?,want to change the language,1
best app for online teaching,good for online studies,1
online meeting is nice,good app for conducting online meetings and connecting with people,1
it is the best app for chatting and meetings,app is good for meetings and chatting,1
learning is very effective,good for learning,1
it tells me i am not eligible to sign up at this time,receiving not eligible to sign up message,1
this app is not suitable for meeting,app is not good for online meetings,1
"when downloading the app, it takes too long",downloading the app is time consuming,1
"this new zoom app is so so annoying,always downloading emoji every time i launch it",app keeps downloading emoji package,1
how to put virtual background in mobile on zoom??,want to use virtual background,1
the app is very good and the call quality is extremely good.,good app for conducting calls,1
i can not share my screen!,want to share screen,1
speakers cannot be connected via bluetooth,want to hear audio with bluetooth speaker,1
love this app i can always get on zoom with my friends or family,good for community connections,1
please improve your performance zoom,app performance needs improvement,1
android tablets do not have virtual background feature in zoom!,want to set virtual background on mobie,1
will not let me change password,forget password feature is not working,1
"the screen is clear and the sound is heard very well, and i am using it very well.",audio and video quality is good,1
nice app audio quality is also nice,good quality of sound,1
but there is a problem with the screen.,facing issues with screen,1
the app is very good but it would be much better if the background comes to phone and tablet as well please come,want to add virtual background,1
i can not put my phone number,want to verify phone number,1
please insert vitual background in it,want to insert virtual background,1
"pretty excellent app, just wish it was not so big!",app is too large in size,1
you should make a lite version of zoom,want lite version of app,1
slow down the download,app downloading is too late,1
sound problems - why is it so hard?,facing sound related issues,1
its latest version is the best!,latest update is good,1
nice but unable to use background option in phone even have the lastest android version,unable to put background on android phone,1
"zoom does not seem to want to keep my account working, I am very mad",want to access account,1
but i have a problem of connecting it disconnect and again reconnect after 1 min,unable to connect meeting,1
why would i want to join a meeting without audio?,want to join meeting with audio by default,1
that we have the option to delete the chat,want to delete message in zoom chat,1
the application is constantly hanging,app freezes frequently,1
"and for ipad, you can not sign in with apple",want to login with apple id,1
the camera function is not displayed for me.,camera is not working,1
"the audio and video are very good for meetings, thank you",good for managing meetings,1
"it really takes up space on my phone, so bad",app takes too much memory space,1
when i have class it is automatically disconnected and connect and,class gets disconnected,1
an indispensable application for educators,good app for educators,1
my phone overheats with this app.,app heats up the device,1
not really able to use this app on my pc,desktop version is not working,1
can not share audio via bluetooth,want to share audio via bluetooth,1
not great to use zoom on ipad.,app is not working in ipad,1
how should i delete the image?,want to delete an image,1
too many error codes.,facing error codes frequently,1
i can not connect to this app,want to connect to app,1
"when i record my screen share on mac book pro, the video recording gets very poor quality.",video recording quality is poor,1
how to sign in to gmail account without password,want to sign in to gmail without password,1
zoom meeting password entered correctly but still says incorrect,displaying incorrect password after entering correct password,1
great application for training.,app is good for training,1
"after the last update, the app no longer works",app is not working after latest update,1
please add the mir card as a possible payment method.,want mir card payment option,1
and it is good for kids,app is good for kids,1
very helpful for our business,good for business,1
why can not i control the volume on my iphone with my headphones on?!,want to control the volume while using headphones,1
i can easily log in to my account but not on my tablet idk why i tried to login it,want to login on tablet,1
how to get zoom pro ?,want to update to zoom pro plan,1
the image quality is amazing!,image quality is good,1
great for chat room,chat room experience is good,1
you can provide subtitles,want to add subtitles option,1
"the application does not have the option of my language, the catalan.",want catalan language support,1
camera quality is good,camera quality is good,1
i am unable to log into my school account,want to login to school account,1
bad quality and connection,poor quality of connection,1
video quality could be better.,video quality needs improvement,1
the worst videoconferencing app I have ever used.,app is not good for video conferencing,1
please remove waiting room,want to remove waiting room,1
i am having trouble with bluetooth connection,facing issues with bluetooth connection,1
and i had trouble with zoom cloud meetings.,facing issues with zoom cloud meetings,1
network connection is not good and video quality is not good,video quality is bad and facing network connection issues,1
camera quality is not good .but,camera quality is bad,1
but it takes so much battery and net,battery and data consumption is high,1
new stickers are not downloading,want to download stickers,1
i can not download emoji's.,want to download emojis,1
my play store is not working,play store is not working,1
updating is too frequent.,updates are too frequent,1
"excellent, very good for conversation",good app for conversation,1
how can we cancel emoji package downloading?,want to stop downloading emoji package,1
mobile version is not good.,mobile version needs improvement,1
this app is good but it glitches a lot please improve,app has glitches,1
some features are missing,features are missing,1
it is a good app but it should give update notification in advance,want update notifications in advance,1
i can not log in to facebook,want to login with facebook,1
host video is not available,want to access host video,1
i am not able to get video,want to access video,1
i can not remove my profile picture please resolve this issue,want to remove profile picture,1
why this app is not installed in my phone (android),want to install app in mobile,1
i am not able to switch on my video,want to turn on self video,1
"this app is amazing for meeting, screen sharing and many other more things in this app.",good app for conducting online meetings and screen sharing,1
how to change video background?,want to put background image on video,1
it will say it is invalid email or password,receiving invalid email or password message,1
please allow me to change the wallpaper,want to change wallpaper,1
why is zoom unavailable in ukraine?,app is unavailable in ukraine,1
my zoom will not even load.,app is not loading,1
registration is long and tedious.,registration process is time consuming,1
you can not set the sound normally,want to adjust sound,1
"terrible gameplay, bad graphics, bad characters, this game is bad",quality of game is bad,1
a great way of communication and learning.,good app for communication and learning,1
excellent medium for conferences and classes.,good for conferencing,1
i will not let me put my date of birth,want to input date of birth,1
very good for meeting.,good for virtual meetings,1
this app quality is very poor,poor quality of product,1
unable to download updates,want to download update,1
best app for children,good for children,1
you can not change the name properly,want to change name,1
very good user interface and experience.,user interface is good,1
how to install a virtual background for ipad,want to get virtual background option for ipad,1
technical support does not respond.,want to contact technical support,1
plus i keep getting logged out of my account,getting logged out of account,1
"excellent app, but its licenses are very expensive!",license fees are expensive,1
google duo is a much easier app.,google duo is easier,1
i love this app because you can connect meetings and take care of other things,good for connecting to meetings,1
"sometimes, the video does not work either.",want to view video,1
i can not set background filters in my android device,want to use background and filters for android,1
please add blurred background on android devices,want to add blurred virtual background option for android,1
extremely bad service .,customer service is bad,1
it is just taking a lot of time to connect to meetings,joining the meeting is time consuming,1
can not set photos,want to add photo,1
good for meetings and bible study,good for spiritual meetings,1
zoom is now better and more stable,app is better and stable,1
how to turn on the sound?,want to activate audio,1
it is impossible to enter a conference,want to connect to the conference,1
the audio is cut off.,audio is choppy,1
the game lags a lot and the graphics are bad,graphics is low and gameplay is very bad,1
the application is nice but you need turkish language support,want turkish language support,1
difficulties with registration and login,want to register or login,1
i can not put a picture on the zoom profile,want to update profile picture,1
"it is cool and convenient, especially on distance learning",good app for distance learning,1
it is rather annoying because when you want to attend a meeting it just comes up that the app needs updating.,keeps asking for updating the app when joining a meeting,1
it is very easy to join,easy to connect,1
but do not connect and says error problem,want to connect,1
sign in to the correct email password and it just shows the wrong email or password,keeps receiving error message after entering correct email and password,1
i am downloading zoom from 2 days but it is not getting downloaded.,unable to download,1
zoom cloud meetings is easy for anyone to do,zoom cloud meetings is user friendly,1
unable to share link,want to share link,1
i am able to use green screen on samsung mobiles,want to add green screen effects,1
nice app but remove videos option,want to remove video option,1
older version was far better than this new.,previous version was better,1
it is simply impossible to study!,want to continue study,1
it is nice especially in an ipad,ipad version is good,1
i am wondering how i change my email address .,want to change email address,1
the ui can be improved,user interface needs improvement,1
please there is a recording feature in mobile users,want recording option in mobile,1
"whenever i switch to other apps , i automatically get logged out of the meeting",getting logged out of meetings,1
poorest service very disappointed,poor quality of service,1
i could not install this app on my phone!,unable to install app in mobile,1
it is very easy to login,easy to login,1
"great video quality, no lag",video quality is good,1
it has no recording option,want recording option,1
i faced this problem: there is no sound when sharing the screen.,want to hear sound when sharing screen,1
the pc version is very good.,desktop version is good,1
such a bad app for childrens,app is bad for children,1
bad app this only gives 40 minutes of meeting,want to conduct meeting for more than 40 minutes,1
this app is best for online class conducted by school .,good for connecting to classes,1
can anybody tell me how to make our id in zoom,want to make id in app,1
not having india's flag in emoji section,want indian flag in emoji section,1
can not connect to our service,want to connect to service,1
the audio quality should be better.,audio quality needs improvement,1
"the best app for video calls and online meetings, much better and easier than google meet, quite good for meetings at work and online classes",good app for conducting video calls and meetings,1
please improve audio and video quality.,want to improve audio and video quality,1
does not open a link to viber,want to access viber link,1
"very useful, and convenient for school meetings, etc.",good app for school,1
where is the sound button?,want to use sound button,1
i am unable to login to my zoom id even when i have logged into my gmail account,want to login with email,1
"it is unstable, the audio is being cut off and the image freezes.",image freezes and the sound is distorted,1
i am unable to blur my background..,want to blur the background,1
"it is only working on mobile data , it is not working on wifi",app is not working on wifi,1
one of the best app for online class.. but only 45 min we can do.,want to increase meeting time limit,1
how can i change the time limit?,want to extend meeting timelimit,1
i find it difficult to update my zoom cloud meeting,want to update zoom cloud meetings,1
this app is not installed in my playstore,want to find app on playstore,1
"it is really annoying that zoom still auto-rotates the meeting ui, even though my tablet's auto-rotate setting is turned off.",app auto rotates in meeting even after disabling auto rotate feature,1
it automatically gets sign out and i have to sign in again and again 3),getting logged out automatically,1
there should be a way we can cast zoom into a tv.,want to cast zoom into television,1
the updated app is not installing on my phone after the update.,want to update app on phone,1
after update zoom meeting not starting.,want to start a meeting,1
please help me issue a refund.,want a refund,1
it is way better than microsoft teams!,app is better than microsoft teams,1
i tried repeatedly pressing the join audio button and nothing worked.,join audio button is not working,1
this is a very nice app for interview & meeting.,good app for conducting online meeting and interviews,1
how to set dp on zoom meeting,want to add picture in picture mode,1
but i want to know how can i record the meeting??,want to record a meeting,1
"but there is no ""zoom"" the video in zoom app.",want to zoom in or zoom out,1
and i can not communicate with friends,want to connect with friends,1
zoom and the best solution for working remotely,good for remote management,1
can you give me indonesian language ?,want indonesian language support,1
"i see an approval error, but what is the problem?",receiving approval error,1
i can not register and unmute the conference,want to unmute the conference,1
there is no ukrainian flag in emoji,want ukraine flag in emoticons,1
"the app is terrible, do not download this discord mess a billion times better!",discord is better,1
so you can delete your posts,want to delete posts,1
the quality of the images is not good.,image quality needs improvement,1
does not work properly on windows 11,want support for windows 11,1
"but sometimes the screen flickers, the screen freezes, or i can not see any activity at all.",screen flickers sometimes,1
he will not let me put filters,want to apply filters,1
"this app is one of the most modern ""facetime"" apps.",good app for conducting facetime,1
do not pin videos when someone is sharing the screen (can not pin anyone while someone is sharing screen),want to pin video when sharing screen,1
love it keeping in touch with family,good communication with friends and family,1
zoom is comparatively good in terms of ui and features.,app has good features,1
please tell how to connect audio with bluetooth speaker in android.its not connecting,want to connect audio,1
but 1 - you can not delete zoom chat messages,unable to delete message in zoom chat,1
in my phone i am not getting background features,unable to put background image on phone,1
"when using this application, the device is very hot.",facing device heating issue,1
can not record audio .,want to record audio,1
i am not getting the blur option,want to get blur option,1
"i have online classes and since a few days, this app is not working properly.",want to attend online lessons,1
worst ping issue in this app,facing app ping issue,1
i forgot how to create a link,want to create a link,1
it take high speed network.very bad app,app requires high speed internet,1
your data is not safe on this app.,data is not safe,1
it makes remote meetings easier,good app for remote meetings,1
"he often does not let me into the confib because i allegedly write an incorrect config code, although everything is correct",want to open confib,1
it sucks with bad xd graphics,graphics quality needs improvement,1
so basically when i try to add contacts it does not work,want to add contacts,1
i can not find the background settings when i update it,want to find background settings,1
there is the ability to switch from computer to phone.,want to switch between computer and phone,1
"please update this, so that face filters work on things like ipad minis and such.",want to use face filters on ipad,1
"sign in with sso is not working, ios 15.4",want to login with sso,1
will not download from the appstore,want to download the app from google play store,1
the volume control is not working.,volume control is not working,1
the audio settings to connect should be automatic.,want to connect to audio automatically,1
i never know what is the zoom password?,want to know password,1
i too had problems after the update and could not fix it no matter what i tried!,facing issues after latest update,1
unable to connect audio over cellular/wifi,want to connect to wifi,1
for some reason i do not understand when the download reaches 100% i get a message that the application cannot be installed,facing issues after downloading percentage reaches 100,1
my zoom cloud meeting is not download,want to download zoom cloud meeting,1
just needs a little bit more security,security features are not high,1
please add an option to lock orientation of the screen or adjust it.,want to lock orientation of screen,1
"when i type my number in that zoom asks for, it tells me my number is incorrect.",receiving incorrect phone number message,1
"since the upgrade, i can not get into breakout room",facing issues with breakout rooms after latest update,1
no option for chating,want to get chat option,1
"this app is amazing,we can screen share also",good app for screen sharing,1
but whenever teacher screen share sometimes it is blackscreen,want to view shared screen,1
"there are other problems too like poor video quality, voice quality and connecting problems.",audio and video quality is bad and facing network connection issues,1
please note that share screen does not work in zoom with android.,want to share screen on mobile,1
"finding it very difficult to download it, takes a lot of mb.",want to download the app and takes up more memory space,1
when host removed me from the meeting i can not join please do something,want to join meeting after getting removed by the host,1
good add more features,want more features,1
how i set my profile pic at zoom,want to set profile,1
"poor connection of both video and audio, inconvenience of use, can not register normally, constant crashes and freezes.",app crashes frequently and facing network connection issues,1
you should like the option that you can put wallpaper on cell phone,want to set wallpaper on mobile,1
i do not know how to download this video,want to download video,1
but it would be best if we had the option of sharing only sound through android devices as well.,want share only sound option,1
it would be interesting to be able to create a scheduled meeting,want to schedule a meeting,1
i enter the identification code and give an error.,receiving error after entering correct identification code,1
"if the desktop version can still be used at the very least, then the application is generally useless",desktop version needs improvement,1
i try to log into a meeting the app says update,facing issues with update when joining a meeting,1
nice and easy to make a meetings.. hope everyone can know how to use this,app is good for meetings,1
audio on the headset does not work,want to hear audio on headset,1
there is no touch up appearance option for android devices,want to get touch up appearance option for android,1
it is tough to understand the app,app is difficult to understand,1
i do not know how to enable co-host and is a bit laggy.,want to enable co-host,1
i forget my password and tried to set new password via email,want to reset password,1
why does it rotate even if you turn it off?,want to turn off screen rotation,1
it does not have dark mode,want dark mode,1
the app is really good but the chat section is so bad.,chat feature needs improvement,1
"it is been 2 days, why is the zoom not working?",app is unresponsive,1
and pls add virtual background for tabs,want to get virtual background option for tabs,1
good app but no background why ?,want to view background,1
"my zoom app has refused to update even when there is data and network, and i have a very important zoom meeting to attend today, pls can you people help",unable to update zoom app,1
my zoom app has not install plz hlp me,unable to join,1
very nice and clean graphic app,graphics quality is good,1
excellent online means of communication.,good for virtual interaction,1
the video is regularly frozen,video freezes,1
why is the microphone turned on from the very beginning?,microphone turns on automatically,1
sometimes the screen freezes,screen freezes,1
"although i wrote the conference number and the code correctly (which was sent over hundreds of networks), but it writes the wrong code.",receiving incorrect conference code message even after entering the correct code,1
"with the app i can not share the sound at the time of screen sharing, they could help me.",want to send audio,1
unable to enter classes because of problem 104101,receiving 104101 error while joining class,1
"recently when I am running a macbook meeting, i can not share my ipad screen.",want to share screen on ipad,1
how do i increase the volume ?,want to adjust volume,1
i was thinking maybe you could add a profile picture option for group chats as well,want to add profile picture for groups,1
"i love zoom, but for the better, i think zoom should be for users to use on multiple devices.",want to use one account on multiple devices,1
and you can not share audio on the tablet?,want to share audio on tablet,1
i can not log in while updating!,want to login without updating,1
definitely recommend microsoft teams instead,microsoft teams is better,1
its not connecting to internet,want to connect to netwrk,1
how to save data or use less,want data saver option,1
but it has continued to charge me for subscription that i thought was canceled.,getting charged for cancelled subscription,1
"even if i set the speaker volume to low, it sounds too high",sound is too loud in the lowest setting,1
this app is very helpful to collaborate with friends welcome,app is good for collaborating,1
"i am having problems finding my recording after i recorded a zoom meeting on my samsung tablet, please help me",want to find recordings,1
the desktop version is terrible since the last update.,desktop version update is not good,1
when I am in an important meeting i recommend adding a notification that reminds you when the new update will come,want notifications for updates,1
it would be nice if more users can be seen on the screen at once.,want to view more participants on one screen,1
can not hear videos or see videos,want to view video and hear audio,1
great way for large groups to come together!!,good for group communication,1
shows error code very often,receiving error code,1
this app is very expensive to learn study online classes,app is expensive for online classes,1
it is the worst app for school students..,worst application for students,1
it helps me a lot with regards to my spiritual needs.,good for spiritual needs,1
"still does not allow choosing background filters from mobile devices, very inconvenient",want to get background and filters for mobile,1
bt i could not record my session via mobile,want to record on phone,1
it works fine but sometimes the zoom server crashed i leave it to be fixed please,zoom server crashes,1
i can not talk in class,want to speak,1
"the quality of the meetings, both sound and image, are good.",good quality of meetings,1
"many times the sound is not activated in the meeting, please correct it",want to hear audio during meeting,1
"when i write the correct access code, it writes what is wrong and try again.",receiving incorrect access code message,1
i have not been able to enter the room,want to access the room,1
i do not know how to enter a zoom meeting.,want to join meeting rooms,1
somehow it works better on cell phone than on my laptop,mobile app is better than desktop app,1
i can no longer pass classes,want to pass classes,1
there is a problem where i am not allowed to use zoom on mobile.,want to use mobile version,1
does not want to register and cannot join the conference,want to register and cannot join conference,1
will not connect on my new iphone 12,app is not working on iphone,1
not able to receive virtual call with physician office without connection issues!,want to receive virtual call,1
"zoom just withdraw money from my account without any notification, just an invoice of payment i did not make, they really need to stop that",amount getting deducted without any notification,1
"just when I am about to join an important meeting, i can not access zoom because of a mere update..",want to enter meeting room,1
love the video sharing experience,good for video sharing,1
"hope the developer optimizes the application better for this table line, and should update the language switch section in the application.",language switching section should be updated,1
pls teach me how to change pfp on zoom,want to change zoom pfp,1
before updating its nice but not now i have many connection issues after updating this app,facing network connecting issues after updating the app,1
very low quality meeting app.,poor quality of meeting,1
"not able to log in ,my account is locked",want to login as account is locked,1
but whenever i join the meeting and then if i want to go to other app then host voice is completely inaudible and after 2-3min it disconnected..,want to hear audio and meeting gets disconnected,1
so i keep tapping and the unmute button still does not appear,unmute button does not appear,1
there should be a option of co host in android.,want co host option in mobile,1
but in android phone there is not available record option.,want to get record option in mobile,1
"i keep bouncing that my session has expired, but i hit some bugs and fix them",sessions are getting expired,1
free fire can not be played in,want to play free fire,1
"if you use it through the mobile app, you do not receive files from other people in the chat",want to receive files in chat,1
"i can not turn the sound off, i can not turn it on.",want to turn off sound,1
i could not download it to my tablet even though i had previously used it without problems.,want to download the app on tablet,1
how do i get to a conference if i can not log in?,want to login with phone,1
better viber than zoom,viber is better,1
"the application is just disgusting, it constantly lags the sound despite the fact that i have a samsung galaxy s21 phone!",app is slow and facing issues with audio,1
but you can do so that you can put an animated gif picture and not just a photo.,want to put gif,1
the truth is that my zoom is very good what i would like is to be able to put the profile picture,unable to view profile picture,1
it is a very good application but it locks up and takes me out,app locks up,1
but i give it 4 stars because they should correct the problem that when they take you out of a meeting it will not let you back in,meeting gets disconnected and unable to rejoin,1
it is not possible to have calls by other applications at the same time when you are connected to the zoom,want to have calls while other apps at the same time,1
"the graphics are very bad, and it takes time to load the skins",want to load skins,1
"you either have sound, microphone, or camera will refuse to turn on.",want to turn on sound and camera,1
so this app is horrible because people hack into it,app security needs improvement,1
i hope that there is a pip mode.,want pip mode,1
the app is easy to use but sometimes my mic and camera does not work on zoom.,camera and microphone is not working,1
sound cuts in and out if more than one person speaks/makes noise at the same time.,want to mute background noise,1
i can not turn on video in the meeting.,want to turn on video in a meeting,1
i try to join & screen goes black with the 4 squares showing only.,screen is black,1
suggestion can you also add an option where we can change or blur background in all android phones?,want to add blur option,1
"instead of sending the audio to my headphones, what i assume is the bluetooth option sends the audio to my phonecall speaker (I would have to hold the phone to my ear).",want to hear audio through speaker,1
plans are very much expensive.,plans are expensive,1
wish i could customize my background,want to customize background,1
do not trust the privacy of this app.,app privacy needs improvement,1
provide screen recording features without permission of host,want screen recording feature for viewers,1
there is a problem on bluetooth audio and device audio.,facing issues with bluetooth audio devices,1
"terrible app, not optimized, works terrible",app is not optimized for devices,1
looking forward to adding the background to the zoom meeting,want to add background feature,1
this is a very helpful app for my online classes but it so lag and so much time taken for connection,joining classes is time consuming,1
not able to join any meeting smoothly after every minute my zoom disconnects and shows error,unable to join zoom rooms,1
and it keeps taking me out of my meeting,getting removed from meetings,1
the microphone itself makes strange noises.,facing issues with microphone,1
add virtual green screen on android please,want green screen option for android,1
this app will not let me register with facebook or my google account.,want to register with facebook or google,1
it gives an error 403 and does not allow you to enter.,receiving 403 error,1
it is no longer compatible with my tablet,app is not compatible on tablet,1
it is just that sometimes the transmission is interrupted.,facing transmission issues,1
"the missions are difficult and confusing, you level up very slowly and you are lost all the time and the one who delivers the missions does not stop talking, the game is very bad.",game needs improvement,1
it is impossible to write because the pen pressure is severely cut off and the lines are printed out sharply,want to write because the pen pressure is cutoff,1
"interactive handwriting was the biggest merit, but i could not write it because it was blocked.",getting blocked in interactive handwriting,1
please remove the left and right flipping function.,want to remove left and right flipping function,1
"i can not get panting because i use a supercomputer, but the zoom on my phone is a guggie computer",want to do painting,1
terrible quality of the transmission of the meetings.,transmission of meeting is bad,1
please loosen or lower the age limit for zoom,want to lower age limit,1
"the app is very good, but the decision to disable airplay and other screen mirroring devices was a terrible one.",want to activate airplay and screen mirroring devices,1
"overall, controls become more complex and difficult",controls become more complex,1
after several downloads and removals the language of the app is still russian!,want to remove russian language,1
"since then, i can not turn on the video well.",want to turn on video,1
audio problems are endless but what is really bothering you in the last week is that when i schedule a meeting through the mobile app it does not appear on the website's meeting list anymore!,want to schedule a meeting through mobile and facing audio issues,1
"everything was fine before but now after i re-installed, it is not supported on my ios",app is not supported on ios after reinstall,1
but i want my screen to be mirrored even when others see it.,want screen to be mirrored,1
i can not access any meeting links,want to connect using meeting url,1
"if you use zoom on mobile (usually used with an ipad), the zoom participant screen will continue to blink in recent years.",screen flickers on ipad,1
i could not cancel the payment as scheduled.,want to cancel payment,1
please cancel the requested transaction.,want to cancel transaction,1
i am not able to share whiteboard from iphone.,want to share whiteboard from iphone,1
cannot use zoom as a vip paid user.,want to use app as vip paid user,1
"horrible, you do not have an icon to transmit screen (mirror),, horrible the application for that",want to transmit mirror screen,1
"when i mirror in the video settings, the view i see is mirrored, but i can not mirror it to other participants; it is really uncomfortable!",want to mirror screen to participants,1
"they can put the option to exit the application and continue to appear the video, as well as on the screen, there are some annoying bugs.",want to exit the application,1
you should add more background and face stickers,want to add face stickers,1
"the pen does not work any more, can you tell me why ?",pen is not working,1
my invitees cannot join my meeting,invitees are unable to join meeting,1
"it is a good app and i am happy for this app but please give the virtual background option on this ipad mini , please i am pleasing you to give the option.",want to get virtual background option in ipad mini,1
the zoom is limited with time and it is very disruptive,zoom has a time limit,1
also if we join from the browser sometimes the mic does not works.,microphone is not working when joining from browser,1
also it did not even have passcode as an option,want to get passcode option,1
quick simple to set up and value for money,easy to set up,1
"this app has been helpful very much, but as a gamer i really need animated profile pictures up to 100mb size, this feature is helpful to people like me, and maybe some other people.",want animated profile picture,1
"and as always we need more features for ipad and iphone like ""save contact name and number""
and also new backgrounds and filters.",want better features for ipad and iphone,1
"when i checked the basic accessibility i found that there is no problem, but i could not find options for camera",want to find camera option,1
we can not find what the meeting password is.,want to find meeting password,1
in iphone it far better battery performance..!!,iphone has better battery performance,1
extremely good interface and clear quality conferencing,good interface and clear quality conferencing,1
bad connection and can not pin in phone,facing connectivity issues and unable to pin in phone,1
best wishes for more creativity to the team of developers.,good for creativity,1
web version is crap can not hear dicc ruined whole meeting so have to download this app,web version is bad,1
"functionally things are great but the ui could be better, chat button is under a hidden menu although there is space on main screen.",chat button is under hidden menu,1
monday's upgrade means i can no longer use zoom on my ipad and only through safari with limited features on my imac.,want to use zoom on ipad,1
"on ipad member video views are very limited, and got very limited features.",video views are limited,1
only problem. wish we could isolate each speaker in the break out room.,want to isolate speaker in break out room,1
i want to be able to change the position of the camera box when zooming with a tablet or phone.,want to change position of camera box when zooming,1
", you can at least add your own volume slider.",want to add volume slider,1
"the app is great and useful but could you add a feature where you can mute someone but for the other participants they can still hear that person, it would be very useful if it was added",want to mute participant,1
can not get it to pair with hearing aids.,want to pair hearing aids,1
can you please add background and video filter option to ipad air,want to add background and filter option to ipad,1
the sound is constantly glictching!,sound is constantly glitching,1
"to whom it may concern
is it possible to have the translation simultaneously by splitting the screen in two",want simultaneous translation by splitting screen,1
where to choose language,want to choose language,1
"split screen while conversing: if you change zoom from split screen to full screen, you might lose all audio control.",converting split screen to full screen will lose audio control,1
you can not change your mic setting while drawing on someone else's,want to change mic setting while drawing,1
and there is making it impossible i need my account to cancelled as soon as possible,want to cancel account,1
you need to have a better way to connect to people,want to connect to people,1
